,영단어,의미
1,abruptly,[부] 갑자기
2,account for,(부분·비율을) 차지하다
3,accuse,"[동] 고발[기소/비난]하다, 혐의를 제기하다"
4,acknowledge,"[동] 인정하다, 감사를 표하다"
5,admirer,"[명] 팬, 숭배자"
6,admission,"입학, (입장) 허가"
7,adore,"[동] 동경하다, 숭배하다"
8,adulation,"[명] 찬사, 과찬"
9,agonized,[형] 고뇌[고통]에 찬
10,albeit,[접] 비록~일지라도
11,amplification,"[명] 확대, 확장"
12,anxiousness,[명] 걱정스러움
13,applaud,[동] 박수를 치다
14,appoint,"[동] 임명하다, (시간, 장소등을) 정하다"
15,artistry,[명] 예술성
16,as good as,"…만큼 좋은, …나 마찬가지인[다름없는]"
17,assassinate,[동] 암살하다
18,assign,부과하다
19,astounding,"[형] 경악스러운, 믿기 어려운"
20,authentic,"[형] 진정한, 진짜의"
21,barrel,(목재·금속으로 된 대형) 통
22,be more help,좀 더 도움이 되다
23,be deprived of,~을 박탈당하다[빼앗기다]
24,be into something,~에[을] 관심이 많다[좋아하다]
25,be put in charge of,~에게 맡겨지다
26,be taken hostage,인질로 잡히다
27,blow up,"폭파하다, 터뜨리다"
28,blush,[동] 얼굴을 붉히다
29,board,[동] 타다
30,boastful,"[형] 뽐내는, 자랑하는"
31,break down,고장 나다
32,breakup,"[명] 붕괴, 해산"
33,bring down the house,"만장의 갈채를 받다, 관중을 감탄시키다"
34,bury,"묻다, 매장하다"
35,calm,"[형] 차분한
[동] 진정시키다, 침착해지다"
36,cape,"[명] 망토; 곶, 갑"
37,capture someone's imagination,사람을 매우 흥미롭게 하거나 흥분하게 만들다
38,carnival,"축제, 사육제"
39,carol,즐겁게 노래하다
40,carriage,마차
41,cask,(특히 술을 담아 두는 나무로 된) 통
42,cast,"[명] (영화, 연극 등의) 출연자"
43,cause,[명] 이유
44,cellar,지하 저장고
45,certify,"[동] 증명하다, 자격증 교부하다"
46,cheat,속이다
47,club,"[명] 골프채, 곤봉, 골프장"
48,commission,"[동] 의뢰하다, 위임하다
[명] 위원회, 수수료, 위임장"
49,commit,"[동] 적다; 저지르다, 약속하다, 헌신하다"
50,companion,"친구, 동반자"
51,compliment,"[명] 칭찬(의 말), 찬사
[동] 칭찬하다"
52,compose,[동] 작곡하다; 구성하다
53,condemn,"[동] 비난하다, 선고를 내리다"
54,confession,"[명] 자백, 고백, 고해성사"
55,confirm,[동] 확인하다
56,consume,"[동] 소비하다, 소모하다; (강렬한 감정이) 사로잡다[휩싸다]"
57,contend,"[동] 싸우다, 승리를 위해 경쟁하다"
58,continuity,"[명] 지속, 연속"
59,coordination,"[명] 조직(화), 조화, 합동"
60,costly,값비싼
61,costume,"[명] 의상, 복장"
62,couldn't help wondering,궁금하지 않을 수 없었다
63,cross,[동] (위에) 줄을 긋다
64,crossed eye,사시 (눈을 모로 뜨거나 곁눈질로 봄)
65,crusader,[명] 운동가
66,damp,축축한
67,deed,"[명] 증서; 행동, 공적"
68,deja vu,[명] 기시감 (프랑스어 '이미 본')
69,diminish,"[동] 줄이다, 약화시키다"
70,diminishment,"[명] 줄임, 축소"
71,displace,"[동] 대신[대체]하다, 옮기다"
72,doorway,출입구
73,dot,[동] (글자 위나 옆에) 점을 찍다
74,drip,뚝뚝 떨어지다
75,elaborate,"[형] 정교한
[동] 상세히 말하다, 다듬다"
76,embargo,"[명] 금수조치, 통상 금지령, 출항 금지"
77,engrave,[동] 새기다
78,envelope,[명] 봉투
79,essence,[명] 본질
80,ethnic,[형] 민족의
81,expenditure,"[명] 지출, 소비"
82,expert,전문가
83,fair,"아름다운, 공정한"
84,fancy that,(상상하기 어려울 정도로) 놀랐어
85,field,[동] 선수들을 경기 등에 배치하다
86,filling station,[명] 주유소
87,florid,[형] 화려한
88,fly,"[동] (비행기 등을) 날리다, 조종하다"
89,for everyone,모두를 대신[대표]하여
90,for the sake of argument,논의의 편의를 위해서
91,fragment,[동] 산산이 부서지다
92,frantic,"[형] 제정신이 아닌, 광기의"
93,garage,"[명] 차고, 차량 정비소 겸 주유소"
94,general staff,"일반참모, 참모본부"
95,genuine,"[형] 진짜의, 진실된"
96,get on the floor,바닥에 엎드리다
97,give you a run for your money,"1. 돈을 치른[노력한] 만큼의 만족을 얻다
2. 치열한 경쟁을 하다, 접전을 하다"
98,glare,"[동] 노려보다, 반짝 반짝 빛나다
[명] 노려봄, 눈부신 빛"
99,granite,화강암
100,grief,슬픔
101,guardian,후견인
102,have an ear for,"~에 재능이 있다, ~을 잘 이해하다"
103,have an eye for,"~에 안목이 있다, ~을 잘 이해하다"
104,have an eye on,"~을 노리다, 눈독을 들이다"
105,hinder,"[동] 저해[방해]하다, 못하게 하다"
106,Holocaust,홀로코스트(1930~40년대 나치에 의한 유대인 대학살); 대참사
107,hood,"[명] (외투 등에 달린) 모자, 복면, 덮개, 두건"
108,household name,"누구나 아는 이름, 유명한 사람 또는 물건"
109,how come,"왜, 어째서"
110,idolize,[동] 숭배하다
111,illustrious,"[형] 저명한, 걸출한"
112,immense,[형] 엄청난
113,impressive,"[형] 인상적인, 감명깊은"
114,in one's element,자기 뜻대로 할 수 있는 처지에 있는 [물고기가 물속에 있듯이]
115,incarnation,"[명] (신의) 출현; 생애, 화신"
116,industrious,[형] 부지런한
117,infantile,"[형] 어린애 같은, 유치한"
118,insult,모욕하다
119,integrity,"[명] 완전함, 진실"
120,jewel,"[명] 보석, 장신구"
121,jingle,짤랑거리다
122,judge,"감정가, 감식가"
123,jurisdiction,"[명] 관할권, 관할구역"
124,knight in a shining armor,"구세주, 백마탄 왕자"
125,lean,기대다
126,lift,"[동] (제재를) 풀다[해제/폐지하다], 들어 올리다"
127,lonesome,외로운
128,long to do,~하기를 간절히 바라다
129,longing,"[명] 갈망, 열망
[형] 갈망하는"
130,lust,[명] (아주 강한) 욕망[열의]; 욕정
131,maid,"소녀, 하녀"
132,majesty,[명] 폐하; 장엄함
133,make ends meet,"겨우 먹고 살 만큼 벌다, 수입과 지출의 균형을 맞추다"
134,mantle,"[명] 역할, 책임; 덮개; 망토"
135,manuscript,[명] 원고
136,march,[명] 행진곡
137,meticulous,"[형] 꼼꼼한, 세심한"
138,minister,"[명] 장관, 성직자"
139,miracle,[명] 기적
140,modest,"[형] 겸손한, 미천한"
141,monarch,[명] 군주
142,mute,"[형] 말을 못하는, 벙어리의; 말 없는"
143,nationalization,[명] 국유화
144,negotiate,[동] 협상하다
145,nobility,[명] 고귀함; 귀족
146,none too,조금도[전혀] ~하지 않는
147,noteworthy,[형] 주목할만한
148,oblivious,"[형] 의식하지 못하는, 잊고 있는"
149,obscure,"[형] 모호한, 잘 알려지지 않은
[동] 모호하게 하다"
150,officer,"[명] 장교, 경찰관"
151,official,"[명] 관리
[형] 공식적인, 공무상의"
152,oil field,"유전, 석유 생산 지역"
153,on behalf of,~를 대신하여
154,orchestrate,[동] (복잡한 계획·행사를 세심히 또는 은밀히) 조직하다; 관현악용으로 편곡하다
155,oversee,[동] 감독하다
156,passage,[명] 악절
157,pay attention,"주의를 기울이다, 관심을 갖다"
158,pen,[동] 쓰다
159,phrase,"[명] 악구, 소절"
160,plantation,[명] 대규모 농장
161,play by ear,상황에 따라 즉흥적으로 어떻게 할지 결정한다
162,play out,[동사] 전개되다
163,popularize,"[동] 많은 사람들에게 알리다, 대중화하다"
164,pretend,~인 체하다
165,privilege,[동] 특권을 주다
166,pro,[명] 프로선수
167,proctor,(시험 등의) 감독관
168,prodigy,[명] 영재
169,progeny,[명] 자손
170,prompt,"[동] 촉발하다, 자극하다
[형] 신속한, 즉각적인"
171,propel,"[동] 추진하다, 나아가게 하다"
172,prosecution,"[명] 기소, 고발"
173,pull strings,"연줄을 동원[이용]하다, 배후 조종하다, 막후 조종을 하다"
174,putter,퍼터(골프채의 한 종류)
175,quadruple,"[동] 네 배가 되다, 네 배로 만들다
[형] 네 배의, 네 부분[네 명/네 그룹]으로 이뤄진"
176,recession,"[명] 불경기, 불황, 후퇴 "
177,recognition,"[명] 알아 보는것, 인정함"
178,refute,[동] 반박하다
179,relic,"[명] 유물, 유적"
180,resource,"[명] 자원, 재료"
181,rest in peace,영면하다
182,revenue,"[명] 수익, 수입"
183,riches,"[명] 부, 재물"
184,roam,"[동] 배회하다, 돌아다니다"
185,rock,살살 흔들다
186,runner-up,"[명] 2위 입상자, 차점자"
187,sack,"[동] 파면[해고]하다
[명] 자루"
188,sacrifice,"[동] 희생하다
[명] 희생"
189,scolding,"야단, 꾸짖음"
190,seam,"[명] 솔기, 층, 이음매, 접합선"
191,secure,확보하다
192,sensitive,"[형] 민감한, 예민한"
193,shortage,"[명] 부족, 결핍"
194,shudder,"[동] 몸을 떨다, 몸서리치다, 전율하다
[명] 떨림"
195,sight-reading,초견 (악보를 보자마자 연주하는 것)
196,slyly,[부] 능청스럽게
197,sold,"[형] 확신에 찬, 열정 가득한"
198,sole,유일한
199,solid,단단한
200,solid gold,순금
201,sort of,"어느 정도[다소], 뭐랄까"
202,sort out,"가려내다, 분류하다"
203,stairway,계단
204,stand by,"방관하다, 대기하다"
205,startled,깜짝 놀란
206,stud,[동] 장식용으로 달다
207,substantive,"[형] 본질적인, 실질적인"
208,superlative,[명] 최고의 찬사 [형]최상급의
209,surveillance,[명] 감시
210,survival,[명] 생존
211,take a statement,진술을 받다
212,take an examination,시험을 치르다
213,take dictation,받아쓰다
214,take the best of,"~을 압도하다, 통제하다, 우위를 점하다 "
215,telecast,[명] 텔레비전 방송
216,tempting,"[형] 솔깃한, 구미가 당기는"
217,tenure,"[명] 재임기간, 종신재직권"
218,term,[명] 용어; 기간
219,texture,"[명] 감촉, 구성, 조화[어우러짐]"
220,tomb,무덤
221,tone-deaf,"음치의, 눈치 없는"
222,torture,"[명] 고문
[동] 고문하다"
223,trifle,"[명] 사소한 것, 약간"
224,trigger,"[동] 작동시키다, 촉발시키다
[명] 방아쇠, 계기"
225,tune,"[명] 곡조
[동] (악기를) 조율하다, (기계를) 조정하다"
226,turn A into B,A를 B로 바꾸다
